datetime,average
2015-03-01 22:03:21,259.01
2015-03-01 22:04:51,258.82
2015-03-01 22:06:22,260.45
2015-03-01 22:07:52,261.03
2015-03-01 22:09:21,261.66
2015-03-01 22:10:22,261.32
2015-03-01 22:11:53,260.66
2015-03-01 22:13:21,260.62
2015-03-01 22:14:51,260.32
2015-03-01 22:16:22,260.69
2015-03-01 22:17:52,260.97
2015-03-01 22:19:22,261.69
2015-03-01 22:20:53,261.43
2015-03-01 22:22:22,261.6
2015-03-01 22:23:51,261.58
2015-03-01 22:24:53,261.65
2015-03-01 22:26:23,261.25
2015-03-01 22:27:52,261.44
2015-03-01 22:28:53,261.48
2015-03-01 22:30:23,261.99
2015-03-01 22:31:52,261.87
2015-03-01 22:33:22,261.12
2015-03-01 22:34:52,261.07
2015-03-01 22:35:53,260.51
2015-03-01 22:37:22,258.96
2015-03-01 22:38:52,259.09
2015-03-01 22:39:53,259.7
2015-03-01 22:41:22,260.62
2015-03-01 22:42:23,260.42
2015-03-01 22:43:53,260.25
2015-03-01 22:45:21,260.25
2015-03-01 22:46:53,260.42
2015-03-01 22:48:23,260.66
2015-03-01 22:49:51,260.56
2015-03-01 22:50:53,261.3
2015-03-01 22:52:22,260.99
2015-03-01 22:53:23,260.93
2015-03-01 22:54:52,260.38
2015-03-01 22:55:53,260.4
2015-03-01 22:57:23,260.4
2015-03-01 22:58:53,260.11
2015-03-01 23:00:23,260.14
2015-03-01 23:01:52,260.11
2015-03-01 23:02:53,260.17
2015-03-01 23:04:21,260.22
2015-03-01 23:05:52,259.98
2015-03-01 23:06:53,260.0
2015-03-01 23:08:21,259.85
2015-03-01 23:09:53,259.4
2015-03-01 23:10:54,259.28
2015-03-01 23:12:24,259.02
2015-03-01 23:13:54,259.15
2015-03-01 23:15:22,259.36
2015-03-01 23:16:23,259.69
2015-03-01 23:17:53,259.8
2015-03-01 23:18:54,259.9
2015-03-01 23:20:24,259.93
2015-03-01 23:21:52,260.04
2015-03-01 23:23:24,259.96
2015-03-01 23:24:53,259.91
2015-03-01 23:26:24,259.66
2015-03-01 23:27:53,259.78
2015-03-01 23:28:54,259.54
2015-03-01 23:30:24,260.1
2015-03-01 23:31:53,259.71
2015-03-01 23:32:54,259.57
2015-03-01 23:34:23,259.64
2015-03-01 23:35:54,259.51
2015-03-01 23:37:24,260.48
2015-03-01 23:38:55,260.52
2015-03-01 23:40:23,260.36
2015-03-01 23:41:25,260.16
2015-03-01 23:42:55,260.67
2015-03-01 23:44:25,262.34
2015-03-01 23:45:55,262.15
2015-03-01 23:47:24,261.34
